Player,Team,Position,FFtoolbox,ESPN,Pts. Per Game,Total Pts.,Bye Week,Points over Bench,Points over Waiver
Michael Floyd,WR,WR,159.09999999999999,181.0,10.4,166.40000000000001,9,-2.1104166666999991,1.5333333333300008
Carson Palmer,QB,QB,275.69999999999999,301.30000000000001,17.764583333299999,284.23333333300002,9,-2.1229166667000001,1.235416666599999
Brian Quick,WR,WR,173.09999999999999,150.5,10.3479166667,165.56666666699999,6,-2.1624999999999996,1.4812500000300002
Chargers D ST D ST,Def,DEF,93.0,65.0,5.2291666666700003,83.666666666699996,10,-2.1666666666599994,-0.85416666665999941
Duke Johnson,RB,RB,107.5,156.0,7.7291666666700003,123.666666667,11,-2.1958333333300004,3.2208333333399999
Alex Smith,QB,QB,283.39999999999998,282.10000000000002,17.6854166667,282.96666666700003,9,-2.2020833332999992,1.15625
Bishop Sankey,RB,RB,118.09999999999999,134.0,7.7125000000000004,123.40000000000001,4,-2.2125000000000004,3.2041666666699999
Joe Flacco,QB,QB,279.69999999999999,288.19999999999999,17.6583333333,282.53333333299997,9,-2.2291666666999994,1.1291666665999998
Roy Helu,RB,RB,120.2,126.2,7.6375000000000002,122.2,6,-2.2875000000000005,3.1291666666699998
Raiders D ST D ST,Def,DEF,90.0,63.0,5.0625,81.0,6,-2.3333333333299997,-1.0208333333299997
Jermaine Gresham,TE,TE,123.09999999999999,53.899999999999999,6.2520833333299999,100.033333333,9,-2.4833333333400001,-1.2312500000000002
Cole Beasley,WR,WR,174.09999999999999,131.59999999999999,9.9958333333299993,159.93333333300001,6,-2.5145833333700001,1.1291666666599998
Jacob Tamme,TE,TE,92.299999999999997,111.40000000000001,6.1666666666700003,98.666666666699996,10,-2.5687499999999996,-1.3166666666599998
Terrance Williams,WR,WR,164.09999999999999,147.69999999999999,9.9145833333300004,158.633333333,6,-2.595833333369999,1.0479166666600008
Markus Wheaton,WR,WR,165.19999999999999,140.59999999999999,9.8125,157.0,11,-2.6979166666999994,0.94583333333000041
Knile Davis,RB,RB,125.90000000000001,92.599999999999994,7.1749999999999998,114.8,9,-2.7500000000000009,2.6666666666699994
Tre Mason,RB,RB,126.2,90.599999999999994,7.1458333333299997,114.333333333,6,-2.779166666670001,2.6374999999999993
Jameis Winston,QB,QB,274.69999999999999,270.5,17.081250000000001,273.30000000000001,6,-2.8062499999999986,0.55208333330000059
Dwayne Bowe,WR,WR,168.0,129.19999999999999,9.6916666666700007,155.06666666699999,11,-2.8187500000299988,0.82500000000000107
Marcus Mariota,QB,QB,272.80000000000001,270.80000000000001,17.008333333300001,272.133333333,4,-2.879166666699998,0.47916666660000118
Marvin Jones,WR,WR,169.80000000000001,120.8,9.5916666666699992,153.466666667,7,-2.9187500000300002,0.72499999999999964
Terrance West,RB,RB,134.5,65.200000000000003,6.9625000000000004,111.40000000000001,11,-2.9625000000000004,2.4541666666699999
DeVante Parker,WR,WR,144.40000000000001,165.69999999999999,9.46875,151.5,5,-3.0416666666999994,0.60208333333000041
Kenny Stills,WR,WR,164.69999999999999,123.8,9.4416666666700007,151.06666666699999,5,-3.0687500000299988,0.57500000000000107
Allen Hurns,WR,WR,159.69999999999999,132.80000000000001,9.4208333333300001,150.73333333299999,8,-3.0895833333699994,0.55416666666000047
Theo Riddick,RB,RB,129.30000000000001,66.400000000000006,6.7708333333299997,108.333333333,9,-3.154166666670001,2.2624999999999993
Malcom Floyd,WR,WR,152.0,144.90000000000001,9.3520833333300004,149.633333333,10,-3.158333333369999,0.48541666666000083
Breshad Perriman,WR,WR,150.0,146.90000000000001,9.3104166666699992,148.966666667,9,-3.2000000000300002,0.44374999999999964
Nick Foles,QB,QB,272.0,251.90000000000001,16.581250000000001,265.30000000000001,6,-3.3062499999999986,0.052083333300000589
Maxx Williams,TE,TE,83.0,93.900000000000006,5.4145833333300004,86.633333333300001,9,-3.3208333333399995,-2.0687499999999996
Jay Cutler,QB,QB,250.5,292.39999999999998,16.5291666667,264.46666666700003,7,-3.3583333332999992,0.0
David Cobb,RB,RB,126.2,62.399999999999999,6.5583333333300002,104.93333333299999,4,-3.3666666666700005,2.0499999999999998
Garrett Graham,TE,TE,92.599999999999994,66.400000000000006,5.2416666666699996,83.866666666699999,9,-3.4937500000000004,-2.2416666666600005
Harry Douglas,WR,WR,170.19999999999999,85.200000000000003,8.8666666666699996,141.866666667,4,-3.6437500000299998,0.0
Andre Williams,RB,RB,103.0,94.099999999999994,6.2520833333299999,100.033333333,11,-3.6729166666700008,1.7437499999999995
Ladarius Green,TE,TE,74.0,92.099999999999994,5.0020833333299999,80.033333333300007,10,-3.7333333333400001,-2.4812500000000002
Crockett Gillmore,TE,TE,86.200000000000003,64.900000000000006,4.9437499999999996,79.099999999999994,9,-3.7916666666700003,-2.5395833333300004
Victor Cruz,WR,WR,136.30000000000001,141.5,8.6270833333300008,138.033333333,11,-3.8833333333699986,-0.23958333333999882
Derek Carr,QB,QB,253.40000000000001,259.60000000000002,15.9666666667,255.466666667,6,-3.9208333332999992,-0.5625
Tavon Austin,WR,WR,155.40000000000001,100.7,8.5729166666700003,137.16666666699999,6,-3.9375000000299991,-0.29374999999999929
