RNK,PLAYER,TYPE,ACTION,    C/A,  YDS,   TD,  INT, RUSH,  YDS,   TD,  REC,  YDS,   TD,PTS,
122,"Michael Floyd, Min WR  SSPD",FA,,0/0,0,0,0,0,0,0,11.3,165,0.9,21.8,19.9
123,"Ryan Switzer, Dal WR  QBreaking News",FA,,0/0,0,0,0,4.4,27.4,0.2,10,112.1,0.6,21.2,19.9
124,"Rashard Higgins, Cle WR",FA,,0/0,0,0,0,0,0,0,13.4,160,0.7,20,18.2
125,"TJ Jones, Det WR",FA,,0/0,0,0,0,0,0,0,10.7,139.2,0.9,19.9,17.4
126,"Victor Cruz, Chi WR",FA,,0/0,0,0,0,0,0,0,12,144.4,0.9,19.6,16.9
127,"Chris Moore, Bal WR",FA,,0/0,0,0,0,1.5,9.6,0,11.5,134.2,0.6,19.4,16.5
128,"Andre Roberts, Atl WR  Q",FA,,0/0,0,0,0,0,0,0,6.8,85.7,0.7,18.1,16.5
129,"Chad Hansen, NYJ WR  Q",FA,,0/0,0,0,0,0,0,0,10.4,129.8,0.6,16.6,15.9
130,"Bruce Ellington, SF WR  Q",FA,,0/0,0,0,0,0,0,0,10.3,125.4,0.6,16.1,15.6
131,"Sammie Coates*, Pit WR  ORecent News",SENK,,0/0,0,0,0,0,0,0,6,97.4,0.6,13.8,15.2
132,"Rashad Greene, Jax WR  Q",FA,,0/0,0,0,0,0,0,0,6.6,80.4,0.4,13.1,13.5
133,"Ryan Grant, Wsh WRRecent News",FA,,0/0,0,0,0,0,0,0,7.4,98.1,0.5,12.7,12.7
134,"Geronimo Allison, GB WR  SSPD",FA,,0/0,0,0,0,0,0,0,6.2,85.2,0.7,12.4,12.7
135,"Demarcus Robinson, KC WR",FA,,0/0,0,0,0,0,0,0,7.7,92.7,0.5,12.2,12.6
136,"Bennie Fowler, Den WRBreaking News",FA,,0/0,0,0,0,0,0,0,6.7,82.8,0.4,10.8,12.2
137,"Danny Amendola, NE WR",FA,,0/0,0,0,0,0,0,0,5.4,68.6,0.5,10.6,11.9
138,"De'Anthony Thomas, KC WR",FA,,0/0,0,0,0,1.9,12,0.1,6.9,63.8,0.3,10.6,11.9
139,"Jaelen Strong, Hou WR",FA,,0/0,0,0,0,0,0,0,6.6,82.1,0.4,10.5,11.5
140,"Jarius Wright, Min WR",FA,,0/0,0,0,0,0,0,0,6.1,75,0.4,9.9,11.3
141,"Pharoh Cooper, LAR WR",FA,,0/0,0,0,0,0,0,0,6.8,70.5,0.3,9.8,11.1
142,"Jace Billingsley, Det WR",FA,,0/0,0,0,0,0,0,0,5.4,69.6,0.5,9.7,9.8
143,"Malachi Dupre, GB WR",FA,,0/0,0,0,0,3.7,23.4,0.1,3.6,45.3,0.4,9.6,9.6
144,"Tavarres King, NYG WR",FA,,0/0,0,0,0,0,0,0,5.4,67.7,0.4,9.2,9.2
145,"Nelson Agholor, Phi WRBreaking News",FA,,0/0,0,0,0,0,0,0,5.4,65.2,0.3,8.8,8.6
146,"Amara Darboh, Sea WR",FA,,0/0,0,0,0,0,0,0,4.5,57,0.4,8.2,8.5
147,"Leonte Carroo, Mia WR",FA,,0/0,0,0,0,0,0,0,4.5,55.1,0.4,8.1,7.5
148,"Tommylee Lewis, NO WR",FA,,0/0,0,0,0,4,25.4,0.2,2,25.6,0.2,7.9,7.2
149,"Jehu Chesson, KC WR",FA,,0/0,0,0,0,0,0,0,4.6,55.6,0.3,7.3,7.1
150,"Isaiah McKenzie, Den WR",FA,,0/0,0,0,0,0,0,0,3.4,41.4,0.2,7.3,6.9
151,"Brandon Tate, Buf WRBreaking News",FA,,0/0,0,0,0,0,0,0,3,36.4,0.2,6.5,6.8
152,"Dwayne Harris, NYG WR",FA,,0/0,0,0,0,0,0,0,1.8,22.6,0.1,6.4,6.5
153,"Darrius Heyward-Bey, Pit WR",FA,,0/0,0,0,0,0,0,0,3.5,44.2,0.3,6.2,6.2
154,"Jakeem Grant, Mia WR",FA,,0/0,0,0,0,0,0,0,1.5,18.4,0.1,6.1,6.2
155,"Shelton Gibson, Phi WR",FA,,0/0,0,0,0,4,25.4,0.1,1.8,21.7,0.1,6.1,6.1
156,"Damiere Byrd, Car WR",FA,,0/0,0,0,0,0,0,0,3.2,41.5,0.2,5.9,5.9
